NAME,Search Engines and Resources,WEB,Special Sports,Percentage in the Business,Mission Statement,City and State,Sstate,Address,EIN,Bridge Number,Gross Receipts,Assets,Funded Year,CEO or Principal Officer,Gender of Leadership,Cause Area,NTEE Code,IRS Filing Requirement,IRS Subsection
National Coalition of Girls' Schools,Guide Star (Women Sports),http://www.ncgs.org,,2,"NCGS is the leading advocate for girls' schools, connecting and collaborating globally with individuals, schools, and organizations dedicated to educating and empowering girls.","Charlottesville, VA",VA,"PO BOX 5729, Charlottesvle, VA 22905",04-3158798,518445009,,,1993,Martha Perry,,Educatoin N.E.C.,B99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
National Organization for Women,,http://www.now.org,,2,Now's ppurpose is to take action through intersectional grassroots activism to promote feminist ideals and lead societal change.,"Washington, DC",DC,"1100 H Street NW 3rd Floor, Washington, DC 20005",23-7094479,4324528464,,,1986,Terry O'neill,,Women's Rights,R24,990 or 990-EZ,501(c)(4) Civic Leagues and Social Welfare Organizations
,,,,,,,,,,,,,,,,,,,
Netball America,Guide Star (Women Sports),http://www.netballamerica.com,Netball,3,"The leader in bringing Netball to the USA.  We are focused on showing how Netball creates an exciting atmosphere of participation and supports individual progress, team unity, good health and education of youth. ","Westminster, CA",CA,"Po Box 11531, Westminster, CA 92685",26-1426175,7681539381,"$358,225 ","$23,495 ",2009,Sonya Ottaway,,Basketball,N62,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
New York Gay Football League,Guide Star (Women Sports),www.nygayfootball.org,,3,To promote sports in an inclusive and safe evironment in the LGBT community.,"New York, NY",NY,"260 Madison Axe 8th Flr, New York, NY 10016",20-2268860,5134622933,"$118,613 ","$22,262 ",2014,Monty Clinton,Male,Football Clubs/Leagues,N65,990 or 990-EZ,"501(c)(6) Business Leagues, etc."
,,,,,,,,,,,,,,,,,,,
New York Rugby Club,Guide Star (Women Sports),www.newyorkrugby.nyc,,4,"As an incorporated non-profit 501(c)(3), NYRC is operated by volunteers that adhere to our by-laws, adopted in 1986. The organization is operated by a set of officers that manage day-to-day affairs and a board of directors that manage long-term affairs.","New York, NY",NY,"1397 2nd Ave Pmb 119, New York, NY 10021",30-0095160,63192904,"$174,913 ","$87,605 ",2003,Terance Li,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
No Bull Sports,Guide Star (Women Sports),www.nobullsports.org,,1,"At No Bull Sports we unite, educate and empower young women to reach their full potential, building a community of female athletes from all walks of life.","Fresno, CA",CA,"7647 N Fresno, Fresno, CA 93720 USA",81-2893477,3856921769,"$62,216 ","$38,494 ",2016,Kelly Vucovich,Female,"Other Recreation, Sports, or Leisure Activities N.E.C.; Alliance/Advocacy Organizations",N99; O01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
North American Gay Amateur Athletic,Guide Star (Women Sports),www.nagaaasoftball.org,,3,"Promote amateur sports competition, particularly softball, for all persons regardless of age, sexual orientation or preference, with special emphasis on the participation of members ofthe gay, lesbian, bisexual and transgender glbt community","Milwaukee, WI",WI,"1325 N Van Buren St Apt 203, Milwaukee, WI 53202 USA",41-1637577,762814940,"$408,211 ","$392,575 ",1989,Christopher Balton,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Northern Virginia Womens Soccer Association Inc,Guide Star (Women Sports),,,1,"The corporation teaches young women the sport of soccer and train college age female athletes for national and international soccer competitions the corporation also operates soccer camps for girls under the age of 18, sponsor soccer clinics to teach the game of soccer to girls under the age of 18, operates an elite soccer touring team for girls under the age of 18, and operates a professional soccer team for college age athletes that is designed to prepare team members for national.","Dumfries, VA",VA,"16656 PURCIVAL CT DUMFRIES, VA 22025",56-2315082,7976261746,"$128,110 ","$13,733 ",2003,,,Soccer Clubs/Leagues,N64,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Notown Roller Derby,Guide Star (Women Sports),www.notownrollerderby.com,,3,To foster all aspects of amateur Roller Derby sports for women in the Fresno area.,"Fresno, CA",CA,"1612 W Weldon Ave, Fresno, CA 93705",26-3865652,5955388455,"$10,326 ","$12,845 ",2010,,,Educational Services and Schools - Other,B90,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Outdoor Discovery Network,Guide Star (Women Sports),WenatcheeOutdoors.org,,4,"Promote human-powered outdoor adventure sports at the local level for the health, lifestyle, conservation and economic benefits of these activities. We highlight the outdoor world using our content rich website to help residents and visitors alike to explore, appreciate, care for, and conserve their backyard outdoor places and resources.","Wenatchee, WA",WA,"1512 Rex Rd, Wenatchee, WA 98801 USA",26-0691476,1272537703,"$43,525 ","$14,890 ",2008,Sarah Shaffer,Female,Natural Resource Conservation and Protection; Alliance/Advocacy Organizations,C30; N01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Outdoor Women's Alliance,Guide Star (Women Sports),,,2,"Through the lens of human-powered adventure, we work to inspire confidence and leadership in women of all ages, believing that strong women have the power to build healthy communities and  quite literally  change the world.","Salt Lake City, UT",UT,"4882 West Wiley Post Way, Salt Lake City, UT 84116 USA",81-2848234,7832406266,,,2016,Gina Begin,Female,Human Service Organizations,P20,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"Partners of the Americas, Inc.",Guide Star (Women Sports),www.partners.net,,4,Partners of the Americas connects people and organizations across borders to serve and to change lives through lasting partnerships.,"Washington, DC",DC,"1424 K Street, NW Ste 700, Washington, DC 20005",52-0848769,6240305683,"$4,787,654 ","$8,434,696 ",1967,John Robert McPhail,Male,"Philanthropy / Charity Voluntarism Promotion (General); International Exchanges; Mutual / Membership Benefit Organizations, Other N.E.C.",T50; Q23; Y99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Phoenix Women Sports Association,Guide Star (Women Sports),www.phoenixwomenssports.org,,1,"Helps girls and women find their power through sports. We reach out to underserved girls and women, providing them with opportunities to reach their greatest potential by building confidence and self-esteem through participation in sports and fitness activities.","Phoenix, AZ",AZ,"125 N 2nd St Apt 110903, Phoenix,AZ 85004",86-1040916,1409874114,,"$395,532 ",2002,Meghan Dorn,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
PINK Concussions,Guide Star (Women Sports),http://www.pinkconcussions.com,,1,"Focusing on women and girls with concussions from sports, domestic violence, accidents or military service. It facilitates online support groups for women, teen girls, and their parents/spouses/caregivers. It organizes international medical summits on Female Brain Injury to train medical professionals. It also inspires researchers to expand brain injury studies to include sex differences.","Norwalk, CT",CT,"17 Harborview Avenue, Norwalk, CT 06854 USA",47-2220386,2629829330,,"$66,000 ",2015,Katherine Price Snedaker,Female,Health (General and Financing); Brain Disorders; Women's Studies,E80; H48; V32,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Play Like a Girl!,Guide Star (Women Sports),http://www.iplaylikeagirl.org,,2,"Play Like a Girl is the only national nonprofit organization solely focused on preventing childhood obesity among girls and young women. The organization's mission is to help girls reach their full potential in life by empowering them to lead active, healthy lives at a young age. Play Like a Girl's innovative programs leverage the collective power of women volunteers to promote sport and physical activity as a path to lifelong success. Founded in 2004 and headquartered in Nashville, Play Like a Girl has quickly become a standout organization in the women's sports landscape and strives to reach the 7.5 million girls in the U.S. between the ages of 8 and 18 who are affected by overweight and obesity.","Nashville, TN",TN,"4117 Hillsboro Pike Suite 103-129, Nashville, TN 37215",33-1149207,1587457696,"$89,830 ","$9,255 ",2009,Kimberly S. Clay,,"Recreational and Sporting Camps (Day, Overnight, etc.); Girls Clubs; Health Support Services",N20; O22; E60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
PowerPlay NYC,Guide Star (Women Sports),www.powerplaynyc.org,,2,"PowerPlay advances the lives of girls in New York City, helping them grow physically, emotionally and academically stronger. We create opportunities for girls ages 6 through 21 by partnering with schools and CBOs in NYC to conduct after-school and summer programs that emphasize physical fitness and education. Using sports as our hook, we build girls' confidence and resiliency from the inside-out and create safe spaces where girls learn from one another and from strong female role models.","Brooklyn, NY",NY,"44 Court Street Suite 815, Brooklyn, NY 11201 USA",13-4045021,6158772610,"$826,885 ","$519,070 ",2000,Vivian Santora,Female,"Youth Development Programs; Other Recreation, Sports, or Leisure Activities N.E.C.",O50; N99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Reclaim Childhood Inc.,Guide Star (Women Sports),www.reclaimchildhood.org,,1,Reclaim Childhood seeks to empower refugee and at-risk women and girls in Jordan through sport.,"San Francisco, CA",CA,"1288 Columbus Ave #162, San Francisco, CA 94133 USA",26-3653081,4858899753,"$15,329 ","$28,585 ",2009,Katherine Fischer,Female,Other Youth Development N.E.C.,O99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Rose City Rollers,Guide Star (Women Sports),www.rosecityrollers.com,,1,"The Rose City Rollers mission is to serve women and girls who want to play the team sport of roller derby, connect with an inclusive community, and realize their power both on skates and off.","PORTLAND , OR",OR,"PO BOX 86885, PORTLAND , OR 97286",20-1821723,4308892104,"$658,467 ","$248,414 ",2007,Kim Stegeman,Female,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Rush Miller Foundation,Guide Star (Women Sports),www.rushmillerfoundation.org,,1,Tandem bicycles allow blind children to experience the freedom of cycling. Most tandems are beyond the reach of a families budget and this is where RMF steps in to help them acquire their first bicycle.,"Pueblo, CO",CO,"433 McClelland Ave, Pueblo, CO 81005 USA",84-1581493,3099689467,,"$54,39",2001,Eric Miller,Male,"Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled; Other Recreation, Sports, or Leisure Activities N.E.C.; Other Youth Development N.E.C.",B28; N99; O99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Rye Girls Sports Inc,Guide Star (Girls Sports),http://ryegirlssoftball.com/,,1,"Offers instruction, teamwork and friendship. The league exposes young athletes to a sport they can enjoy for decades to come - throughout their academic, personal and professional lives.","Rye, NY",NY,"80 CENTRAL AVERYE, NY 10580",51-0140088,5132668414,,,2017,Sarah Ball,Female,"Other Recreation, Sports, or Leisure Activities N.E.C.",N99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
SA Tournaments Inc.,Guide Star (Women Sports),http://www.asanaseries.org/pages/tournament,,4,"We are dedicated to promoting women and women's involvement in sports. ASANA is LGBT focused, but centered on providing a safe, inclusive, environment for all women to better themselves through sport, leadership, and community involvement","Pflugerville, TX",TX,"18905 Still Pond Road, Pflugerville, TX 78660",81-3742317,8531971263,,,2016,Rich Segal,Male,"Baseball, Softball (includes Little Leagues)",N63,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Santa Cruz Derby Girls,Guide Star (Women Sports),www.santacruzderbygirls.org,,1,"The santa cruz derby girls (SCDG) are a skater operated organization that promotes the sport of women's roller derby by fostering local, state, national, and international amateur sports competition. SCDG endavors to give a portion of its net profits back to the community through donations to charities and local non-profit organizations.","Santa Cruz, CA",CA,"Po Box 2690, Santa Cruz , CA 95063",26-4574917,543370731,"$193,208 ","$66,890 ",2011,,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Savannah Derby Devils,Guide Star (Women Sports),http://www.savannahderby.com,,1,"Our league provides opportunities for women to improve their physical fitness, as well as support their community. We empower young female athletes through our sister league the Savannah Junior Derbytaunts, as well as offer adult participation levels from recreational to competitive. The Savannah Derby Devils offer leadership opportunities, training, and clinics to help female athletes become more confident in their abilities, translating to greater opportunities in their private lives and positively impacting our community.","Savannah, GA",GA,"Po Box 22274, Savannah, GA 31403 USA",38-3913897,8580989517,"$89,505 ","$43,205 ",2014,Carlie Sohayda,Female,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Saving Hope Charities,Guide Star (Women Sports),http://www.savinghopecharities.org/,,4,"Our goal at Saving Hope Charities is to reunite mothers with their children, who have been placed in foster care, and the only thing separating their reunion is permanent dwelling, or women who find themselves caught in the cycle of the system and she needs a time-out in life to regroup & retrain so she can finally live independently off of the system.","Leitchfield, KY",KY,"233 Commerce Dr, Leitchfield, KY 42754 USA",81-3422514,837843269,"$730,773 ","$731,390 ",2016,Cindy Huff,Female,"Other Housing Support Services; Single Parent Agencies/Services; Public, Society Benefit - Multipurpose and Other N.E.C.",L80; P42; W99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Set Point Inc.,Guide Star (Women Sports),www.setpointinc.ws,,2,"SET POINT'S focus is girls only, we've determined to eliminate drugs, obesity and negative self images that stiffel girl's development by understanding and responding to the realities of girls to empower them to overcome.","Washington, DC",DC,"4460 Alabama Ave SE Suite 1000, Washington, DC 20019",56-2302057,2486327554,,"$13,785 ",2003,Vanessa Brooks,Female,Tennis and Racquet Sports Clubs/Leagues,N66,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Shape Up America,Guide Star (Women Sports),http://www.shapeup.org,,4,"Shape Up America! is a non-profit national initiative to raise awareness of the importance of healthy eating and increased physical activity for weight management and disease prevention. Founded by former U.S. Surgeon C. Everett Koop in 1994, Shape Up America! relies on a broad coalition of industry, medical, health, nutrition and physical fitness experts to develop and communicate information to the public and to health care professionals. It has three broad objectives: promote a new understanding by Americans of the health importance of achieving and maintaining a healthy weight and increasing physical activity; provide science-based information on the assessment and treatment of obesity; and increase cooperation among national and community organizations committed to advancing healthy weight and increased physical activity as major public health priorities.","Clyde Park , MT",MT,"Po Box 149, Clyde Park , MT 59018",52-1985727,6605723270,,"$354,134 ",1997,Barbara Moore,Female,Nonmonetary Support N.E.C.,B19,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Shoreline Roller Derby Incorporated,Guide Star (Women Sports),www.shorelinerollerderby.com,,3,"Shoreline roller derby, incorporated is an non-profit organization with the primary goals of promoting women's flat track roller derby, to advance women's atheleticism in the community and to encourage community service and outreach by its members.","New London, CT",CT,"158 Hawthorne Dr 16f, New London, CT 06320 USA",45-1231554,3571531948,,"$12,869 ",2013,Ruby Reckless,Female,Amateur Sports Competitions,N70,990-N,501(c)(4) Civic Leagues and Social Welfare Organizations
,,,,,,,,,,,,,,,,,,,
Sidewinder Fastpitch Club,Guide Star (Women Sports),http://www.sidewinders.info/,,1,Help young women secure college athletic and academic scholarships through the sport of fastpitch softball. The Sidewinders play throughout the United States and set a rigorous schedule to face as many top summer teams as possible. We strive to play softball the Sidewinder way.,"Snohomish, WA",WA,"1024 First Street, Snohomish, WA 98290",91-2081051,1436847043,"$67,045 ","$57,908 ",2001,,,"Recreational and Sporting Camps (Day, Overnight, etc.)",N20,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Silicon Valley Roller Girls,Guide Star (Women Sports),www.svrollergirls.com,,1,"The Silicon Valley Roller Girls (SVRG) promotes health and fitness in women and children, with the goal of preparing its members for international competition in the sport of roller derby. Within our programs, SVRG encourages individual athleticism and empowerment, especially among women and children of diverse backgrounds. SVRG is in its 9th year of operation, serving all of Santa Clara County and the neighboring counties of Santa Cruz, Monterey and San Mateo.","San Jose, CA",CA,"Po Box 90421, San Jose, CA 95109 USA",26-1547083,7750662584,"$89,416 ","$51,065 ",2014,Tara Flores,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"Sisterspace of the Delaware Valley, Ltd.",Guide Star (Women Sports),http://www.sisterspace.org,,2,"Our key constituencies are women in the local Delaware Valley lesbian community. Sisterspace is accessible to women of all abilities, socioeconomic status, gender-identities, cultures, races and faiths. As an all-volunteer organization, most of our programming is presented and hosted by volunteers; this leaves the issues we specifically address in a given year up to our members. Overall, the community of Sisterspace encourages self awareness, cultivates leadership, builds confidence and strengthens lesbian community.","Philadelphia, PA",PA,"P. O. Box 22476, Philadelphia, PA 19110",23-2790092,4168132049,"$42,072 ","$7,386 ",1995,Jordan Pascucci,Female,Women's Service Clubs,S81,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Sorcerer Softball Club Inc.,Guide Star (Women Sports),,,1,"To train young women ages 10 to 18 in the sport of softball. Through this training, the young women are preapred for collegiate athletic scholarship and education opportunities.","BENICIA, CA",CA,"606 Stoneman Ct, Benicia, CA 94510",20-5410566,4091112980,"$217,174 ","$19,046 ",2010,Phillip Mumma,Male,"Baseball, Softball (includes Little Leagues)",N63,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Southside Swarm Volleyball Club Inc.,Guide Star (Women Sports),,,1,To provide a means for young women to learn and play the competitive sport of volleyball.,"Lees Summit , MO",MO,"4929 SW Raintree PKWY, Lees Summit , MO 64082",26-2593173,5967212095,"$93,511 ","$52,901 ",2008,Chris Heman,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Sports & Fitness Industry Association,Guide Star (Women Sports),www.sgma.com,,1,To promote sports and fitness participation through industry vitality.,"Silver Spring, MD",MD,"962 Wayne Ave STE 300, Silver Spring, MD 20910",36-0753520,2682113951,"$2,775,257 ","$4,540,973 ",1994,Thomas J Cove,Male,Promotion of Business (Chambers of Commerce),S41,990 or 990-EZ,"501(c)(6) Business Leagues, ec."
,,,,,,,,,,,,,,,,,,,
Sports Equality Foundation,Guide Star (Women Sports),http://www.sportsequalityfoundation.com/,,3,"LGBT athletes, coaches and sports leaders inspire us and one another. We exist to empower them, and together demonstrate that equality in sports transforms everyday culture to be more inclusive and welcoming for all.","Atlanta, GA",GA,"741 Monroe Drive NE, Atlanta, GA 30308 USA",45-2133934,4271984798,"$106,230 ","$10,461 ",2012,Patrick Davis,Male,Private Grantmaking Foundations,T20,990-PF,501(c)(3) Private Non-operating Foundation
,,,,,,,,,,,,,,,,,,,
Sports Helping Empower Women in South Africa Inc.,Guide Star (Women Sports),,,1,,"Brattleboro, VT",VT,"PO BOX 10, BRATTLEBORO, VT 05302",46-1055295,1462512315,,,2013,Cynthia A Burns,Female,Public Foundations,T30,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Sports Outreach Institute Inc.,Guide Star (Women Sports),www.sportsoutreach.net,,1,"The mission of Sports Outreach Institute is to recruit, train, equip and deploy committed Christian leadership in the proper use of sports ministry for the purpose of sharing the Gospel and to alleviate human suffering.","Lynchburg, VA",VA,"Po Box 11855, Lynchburg, VA 24506 USA",54-1479310,6876814971,"$1,852,731 ","$97,961 ",1989,Sal Ferlise,Male,"Human Services - Multipurpose and Other N.E.C.; Other Youth Development N.E.C.; Community, Neighborhood Development, Improvement",P99; O99; S20,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Sportswomen of Colorado Inc,Guide Star (Women Sports),www.sportswomenofcolorado.org,,3,To support and recognize participation in athletics by women as a valuable life experience.,"Denver, CO",CO,"100 South Madison Street, Denver, CO 80209",74-2370518,1252732753,"$69,998 ","$177,473 ",1985,,,"Professional Societies, Associations",N03,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
St. Louis Womens Rugby Club,Guide Star (Women Sports),stlouissabres.com,,1,"A Women's Division II Club side. Always welcoming new players, both new to rugby and new to St. Louis.","Saint Louis, MO",MO,"7335 Drexel Drive, Jan Stokes, Saint Louis, MO 63130",42-1584464,5658265151,,,2009,Danielle Lopez,Male,"Recreational, Pleasure, or Social Club",N50,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Steel City FC,Guide Star (Women Sports),www.steelcityfc.com,,1,To enable women soccer players of Pittsburgh to compete at a national level and maintain a platform for local female athletes to engage with the community and inspire youth through outreach programs.,"Pittsburgh, PA",PA,"607 Woodbourne Avenue, Pittsburgh, PA 15226 USA",47-2915626,1839140936,,,2016,Stephanie Harrison,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Stonewall Sports,Guide Star (Women Sports),https://stonewallsports.leagueapps.com/,,1,"To provide an inclusive, low-cost, high FUN sports organization that is managed as a non-profit with a philanthropic heart.","Washington, DC",DC,"1615 Q St NW Apt 1014, Washington, DC 20009",47-3779952,,,,2017,Martin Espinoza,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Storm City Roller Girls,Guide Star (Women Sports),http://stormcityrollergirls.com/,,2,"Storm City Roller Girls flat track roller derby league is committed to promote the empowerment of women of all races, national origins, religious beliefs, sexual orientation and body types by creating positive athletic role models and a community based sport for all skill levels.","Vancouver, WA",WA,"3414 NE 172nd, Vancouver, WA 98665 USA",46-1488647,290756978,"$55,648 ","$2,176 ",2017,Sarah Alvers,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Strong Arm Foundation Corp,Guide Star (Women Sports),http://strongarmfoundation.org/index.html,,4,"Reach out to our most at-risk women and children to raise their confidence, maximize their potential and encourage personal growth. Strong A.R.M. Foundation is dedicated to helping these individuals of our community unleash their talents through Arts, Recreation and Multicultural activities along with guiding them to achieve personal excellence through our partnerships with community resources.","Las Vegas, NV",NV,"401 S 4th St Ste 180, Las Vegas, NV 89101 USA",46-5076700,4064147785,,,2014,Sophia Smith,Female,"Youth Development Programs; Urban, Community; Music Groups, Bands, Ensembles",O50; S31; A6C,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Support Young Women in Action Sports Inc.,Guide Star (Women Sports),https://newsettlement.org/girls/about/,,1,"Provide opportunities for young women aged 14+ to earn a stipend while cultivating their peer leadership skills and influencing program design, and we strive to retain the majority of participants from year-to-year, over 3 years or more, until they graduate from high school.","Naples, FL",FL,"9956 Boca Ave. N, Naples, FL 34109",46-2303835,1617155529,,,2013,HENRY NASH,Male,Alliance/Advocacy Organizations,N01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Susquehanna Valley Derby Vixens,Guide Star (Women Sports),www.svderbyvixens.com,,1,"The Susquehanna Valley Derby Vixens, hereafter referred to as SVDV, is a women's roller derby league dedicated to sportswomanship, physical fitness, personal and social development, community involvement and, most importantly, teamwork. SVDV strives to partake in competitive bouting under the Women's Flat Track Derby Association (hereafter referred to as WFTDA) rules against other roller derby teams. We support our community through outreach, fundraising and volunteering. By adhering to the for the skaters, by the skaters"" ideology we practice discipline, dedication, compassion, fairness, loving encouragement and the power of hard work and unity to achieve our goals both on and off the track.","Williamsport, PA",PA,"Po Box 2409, Williamsport, PA 17703 USA",45-2250498,4500794541,,,2014,Tammy Sue Schaffner,Female,Unknown,Z99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Team Up Philly,Guide Star (Women Sports),www.teamupphilly.org,,1,"Our focus is on empowering girls in their critical adolescent and teen years to grow stronger, healthier, more confident and capable while supporting each other as part of a team, learning to stand for themselves and with each other.","Narberth, PA",PA,"111 Forrest Avenue, 3rd floor, Narberth, PA 19072 USA",20-3977499,1005416462,"$180,295 ","$79,771 ",2006,Marian Fischer Pearlman,Male,Human Services - Multipurpose and Other N.E.C.,P99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"Texas Gay Rodeo Inc (chapters include Austin, Dallas, Fort Worth, Houston, and San Antonio)",Guide Star (Women Sports),www.tgra.org,,1,The objective of TGRA shall be to elevate the image of women and men in the sports field of rodeo and Charitable Fundrasing,"Fort Worth, TX",TX,"PO Box 786, Fort Worth, TX 76101 USA",76-0100941,1651322485,"$163,806 ","$68,159 ",1993,Terry Covington,Male,Fund Raising and/or Fund Distribution; Single Organization Support; Fund Raising and/or Fund Distribution,D12; B11; K12,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
The First Tee of Omaha,Guide Star (Women Sports),www.thefirstteeomaha.org,,2,"Our mission is to impact the lives of young people by providing educational programs that build character, instill life-enhancing values and promote healthy choices through the game of golf.","Omaha, NE",NE,"PO Box 11202, Omaha, NE 68111 USA",47-0809385,3397291347,"$124,927 ","$100,719 ",1998,Carl Bartholomew,Male,"Youth Development Programs; Recreational and Sporting Camps (Day, Overnight, etc.)",O50; N20,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
The LPGA Foundation,Guide Star (Women Sports),http://www.lpga.com/lpga-foundation,,1,"The LPGA Foundation supports women and young people through programs and initiatives aimed at empowering them through the game of golf. Since its founding, The LPGA Foundation has touched more than 300,000 lives through various scholarship and financial assistance programs, along with its flagship junior golf program, LPGA*USGA Girls Golf.","Daytona Beach, FL",FL,"100 International Golf Dr., Daytona Beach, FL 32124",59-3085528,4731885204,"$5,308,239 ","$5,341,395 ",1992,Kathryn Milthorpe,Female,Fund Raising and/or Fund Distribution,N12,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
The Memorial Foundation,Guide Star (Women Sports),www.memfound.org,,4,The Memorial Foundation exists to empower community members in stewarding the development and sustainment of healthcare options in Yakima.,"Yakima, WA",WA,"2701 Tieton Drive, Yakima, WA 98902",91-1022358,5931497888,"$5,352,443 ","$11,016,066 ",1978,Erin Black,Female,Philanthropy / Charity / Voluntarism Promotion (General); Fund Raising and Fund Distribution,T50; E12; O12,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
"The Oasis Center for Women & Girls, Inc.",Guide Star (Women Sports),www.TheOasisCenter.net,,2,The mission of The Oasis Center for Women & Girls is to improve the lives of women and girls through celebration and support. The Oasis Center for Women & Girls envisions a community in which all women and girls thrive at every stage of life.,"Tallahassee, FL",FL,"317 E Call St c/o Michelle Gomez, Tallahassee, FL 32301 USA",26-0278278,290017155,"$330,440 ","$107,272 ",2008,Michelle Gomez,Female,Children's and Youth Services; Alliance/Advocacy Organizations; Secondary/High School,P30; S01; B25,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
The Redwoods Group,Guide Star (Women Sports),www.redwoodsgroupfoundation.org,,4,The Redwoods Group Foundation is a backbone organization that staffs and supports collaborative efforts to prevent child sexual abuse and drowning.,"Morrisville, NC",NC,"2801 Slater Rd Ste 220, Morrisville, NC 27560 USA",77-0698917,5583686023,"$559,307 ","$170,182 ",2014,Dan Baum,Male,"Child Abuse; Swimming, Water Recreation; Private Operating Foundations",I72; N67; T23,990-PF,501(c)(3) Private Operating Foundation
,,,,,,,,,,,,,,,,,,,
The Sporting Woman Community Fund,Charity Navigator,www.thesportingwomancommunityfund.org,,1,The mission of The Sporting Woman Community Fund is to provide financial and experiential support to women and girls who wish to participate in life changing dreams through sports or nature.,"Denver, CO",CO,"PO BOX 100414, Denver, CO 80250",71-0914265,4499096453,,,2004,Lisa Taggart,Female,Amateur Sports Competitions,N70,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
